,data,label
78,MRART-Preproc/subjects/sub-152686/ses-headmotion2/t1_linear/sub-152686_ses-headmotion2_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
79,MRART-Preproc/subjects/sub-153486/ses-standard/t1_linear/sub-153486_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
82,MRART-Preproc/subjects/sub-169618/ses-standard/t1_linear/sub-169618_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
85,MRART-Preproc/subjects/sub-171967/ses-standard/t1_linear/sub-171967_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
86,MRART-Preproc/subjects/sub-171967/ses-headmotion1/t1_linear/sub-171967_ses-headmotion1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,2
87,MRART-Preproc/subjects/sub-171967/ses-headmotion2/t1_linear/sub-171967_ses-headmotion2_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,2
88,MRART-Preproc/subjects/sub-177856/ses-standard/t1_linear/sub-177856_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
89,MRART-Preproc/subjects/sub-177856/ses-headmotion1/t1_linear/sub-177856_ses-headmotion1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
94,MRART-Preproc/subjects/sub-185823/ses-standard/t1_linear/sub-185823_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
96,MRART-Preproc/subjects/sub-195765/ses-standard/t1_linear/sub-195765_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
102,MRART-Preproc/subjects/sub-212152/ses-standard/t1_linear/sub-212152_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
105,MRART-Preproc/subjects/sub-217720/ses-standard/t1_linear/sub-217720_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
106,MRART-Preproc/subjects/sub-217720/ses-headmotion1/t1_linear/sub-217720_ses-headmotion1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
108,MRART-Preproc/subjects/sub-219843/ses-standard/t1_linear/sub-219843_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
109,MRART-Preproc/subjects/sub-219843/ses-headmotion1/t1_linear/sub-219843_ses-headmotion1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
111,MRART-Preproc/subjects/sub-228373/ses-standard/t1_linear/sub-228373_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
120,MRART-Preproc/subjects/sub-257563/ses-standard/t1_linear/sub-257563_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
121,MRART-Preproc/subjects/sub-257563/ses-headmotion1/t1_linear/sub-257563_ses-headmotion1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
122,MRART-Preproc/subjects/sub-257563/ses-headmotion2/t1_linear/sub-257563_ses-headmotion2_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
126,MRART-Preproc/subjects/sub-261051/ses-standard/t1_linear/sub-261051_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
132,MRART-Preproc/subjects/sub-275147/ses-standard/t1_linear/sub-275147_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
135,MRART-Preproc/subjects/sub-275211/ses-standard/t1_linear/sub-275211_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
138,MRART-Preproc/subjects/sub-278729/ses-standard/t1_linear/sub-278729_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
141,MRART-Preproc/subjects/sub-279373/ses-standard/t1_linear/sub-279373_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
143,MRART-Preproc/subjects/sub-281888/ses-standard/t1_linear/sub-281888_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
149,MRART-Preproc/subjects/sub-292060/ses-standard/t1_linear/sub-292060_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
150,MRART-Preproc/subjects/sub-292060/ses-headmotion1/t1_linear/sub-292060_ses-headmotion1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
152,MRART-Preproc/subjects/sub-292213/ses-standard/t1_linear/sub-292213_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
153,MRART-Preproc/subjects/sub-292213/ses-headmotion1/t1_linear/sub-292213_ses-headmotion1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
155,MRART-Preproc/subjects/sub-307592/ses-standard/t1_linear/sub-307592_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
161,MRART-Preproc/subjects/sub-335448/ses-standard/t1_linear/sub-335448_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
164,MRART-Preproc/subjects/sub-337488/ses-standard/t1_linear/sub-337488_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
165,MRART-Preproc/subjects/sub-337488/ses-headmotion1/t1_linear/sub-337488_ses-headmotion1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
166,MRART-Preproc/subjects/sub-337488/ses-headmotion2/t1_linear/sub-337488_ses-headmotion2_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
167,MRART-Preproc/subjects/sub-351288/ses-standard/t1_linear/sub-351288_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
168,MRART-Preproc/subjects/sub-351288/ses-headmotion1/t1_linear/sub-351288_ses-headmotion1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
169,MRART-Preproc/subjects/sub-351288/ses-headmotion2/t1_linear/sub-351288_ses-headmotion2_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
173,MRART-Preproc/subjects/sub-367500/ses-standard/t1_linear/sub-367500_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
179,MRART-Preproc/subjects/sub-402511/ses-standard/t1_linear/sub-402511_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
181,MRART-Preproc/subjects/sub-402511/ses-headmotion2/t1_linear/sub-402511_ses-headmotion2_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,2
182,MRART-Preproc/subjects/sub-407309/ses-standard/t1_linear/sub-407309_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
183,MRART-Preproc/subjects/sub-407309/ses-headmotion1/t1_linear/sub-407309_ses-headmotion1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
185,MRART-Preproc/subjects/sub-409228/ses-standard/t1_linear/sub-409228_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
190,MRART-Preproc/subjects/sub-436999/ses-standard/t1_linear/sub-436999_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
191,MRART-Preproc/subjects/sub-436999/ses-headmotion1/t1_linear/sub-436999_ses-headmotion1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
193,MRART-Preproc/subjects/sub-440735/ses-standard/t1_linear/sub-440735_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
196,MRART-Preproc/subjects/sub-441269/ses-standard/t1_linear/sub-441269_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
197,MRART-Preproc/subjects/sub-441269/ses-headmotion1/t1_linear/sub-441269_ses-headmotion1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
198,MRART-Preproc/subjects/sub-441269/ses-headmotion2/t1_linear/sub-441269_ses-headmotion2_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
199,MRART-Preproc/subjects/sub-453666/ses-standard/t1_linear/sub-453666_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
200,MRART-Preproc/subjects/sub-453666/ses-headmotion1/t1_linear/sub-453666_ses-headmotion1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
202,MRART-Preproc/subjects/sub-460834/ses-standard/t1_linear/sub-460834_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
208,MRART-Preproc/subjects/sub-502250/ses-standard/t1_linear/sub-502250_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
211,MRART-Preproc/subjects/sub-508037/ses-standard/t1_linear/sub-508037_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
212,MRART-Preproc/subjects/sub-508037/ses-headmotion1/t1_linear/sub-508037_ses-headmotion1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
214,MRART-Preproc/subjects/sub-513281/ses-standard/t1_linear/sub-513281_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
215,MRART-Preproc/subjects/sub-513281/ses-headmotion1/t1_linear/sub-513281_ses-headmotion1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
216,MRART-Preproc/subjects/sub-513281/ses-headmotion2/t1_linear/sub-513281_ses-headmotion2_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
220,MRART-Preproc/subjects/sub-519991/ses-standard/t1_linear/sub-519991_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
226,MRART-Preproc/subjects/sub-549056/ses-standard/t1_linear/sub-549056_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
229,MRART-Preproc/subjects/sub-561646/ses-standard/t1_linear/sub-561646_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
232,MRART-Preproc/subjects/sub-567551/ses-standard/t1_linear/sub-567551_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
235,MRART-Preproc/subjects/sub-567742/ses-standard/t1_linear/sub-567742_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
236,MRART-Preproc/subjects/sub-567742/ses-headmotion1/t1_linear/sub-567742_ses-headmotion1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
237,MRART-Preproc/subjects/sub-567742/ses-headmotion2/t1_linear/sub-567742_ses-headmotion2_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
241,MRART-Preproc/subjects/sub-579247/ses-standard/t1_linear/sub-579247_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
242,MRART-Preproc/subjects/sub-579247/ses-headmotion1/t1_linear/sub-579247_ses-headmotion1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
244,MRART-Preproc/subjects/sub-581638/ses-standard/t1_linear/sub-581638_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
250,MRART-Preproc/subjects/sub-593354/ses-standard/t1_linear/sub-593354_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
253,MRART-Preproc/subjects/sub-597083/ses-standard/t1_linear/sub-597083_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
258,MRART-Preproc/subjects/sub-599619/ses-standard/t1_linear/sub-599619_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
260,MRART-Preproc/subjects/sub-599619/ses-headmotion2/t1_linear/sub-599619_ses-headmotion2_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
264,MRART-Preproc/subjects/sub-603309/ses-standard/t1_linear/sub-603309_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
281,MRART-Preproc/subjects/sub-645865/ses-standard/t1_linear/sub-645865_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
283,MRART-Preproc/subjects/sub-645865/ses-headmotion2/t1_linear/sub-645865_ses-headmotion2_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,2
284,MRART-Preproc/subjects/sub-652881/ses-standard/t1_linear/sub-652881_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
285,MRART-Preproc/subjects/sub-652881/ses-headmotion1/t1_linear/sub-652881_ses-headmotion1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
287,MRART-Preproc/subjects/sub-654178/ses-standard/t1_linear/sub-654178_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
288,MRART-Preproc/subjects/sub-654178/ses-headmotion1/t1_linear/sub-654178_ses-headmotion1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
290,MRART-Preproc/subjects/sub-654601/ses-standard/t1_linear/sub-654601_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
293,MRART-Preproc/subjects/sub-664050/ses-standard/t1_linear/sub-664050_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
299,MRART-Preproc/subjects/sub-672229/ses-standard/t1_linear/sub-672229_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
302,MRART-Preproc/subjects/sub-678878/ses-standard/t1_linear/sub-678878_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
303,MRART-Preproc/subjects/sub-678878/ses-headmotion1/t1_linear/sub-678878_ses-headmotion1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
311,MRART-Preproc/subjects/sub-691641/ses-standard/t1_linear/sub-691641_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
314,MRART-Preproc/subjects/sub-691777/ses-standard/t1_linear/sub-691777_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
317,MRART-Preproc/subjects/sub-694330/ses-standard/t1_linear/sub-694330_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
319,MRART-Preproc/subjects/sub-697441/ses-standard/t1_linear/sub-697441_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
325,MRART-Preproc/subjects/sub-714347/ses-standard/t1_linear/sub-714347_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
326,MRART-Preproc/subjects/sub-714347/ses-headmotion1/t1_linear/sub-714347_ses-headmotion1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,2
328,MRART-Preproc/subjects/sub-723372/ses-standard/t1_linear/sub-723372_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
334,MRART-Preproc/subjects/sub-750675/ses-standard/t1_linear/sub-750675_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
337,MRART-Preproc/subjects/sub-754006/ses-standard/t1_linear/sub-754006_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
340,MRART-Preproc/subjects/sub-754183/ses-standard/t1_linear/sub-754183_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
343,MRART-Preproc/subjects/sub-757271/ses-standard/t1_linear/sub-757271_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
349,MRART-Preproc/subjects/sub-772389/ses-standard/t1_linear/sub-772389_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
355,MRART-Preproc/subjects/sub-780660/ses-standard/t1_linear/sub-780660_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
356,MRART-Preproc/subjects/sub-780660/ses-headmotion1/t1_linear/sub-780660_ses-headmotion1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
361,MRART-Preproc/subjects/sub-791907/ses-standard/t1_linear/sub-791907_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
363,MRART-Preproc/subjects/sub-791907/ses-headmotion2/t1_linear/sub-791907_ses-headmotion2_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
367,MRART-Preproc/subjects/sub-809320/ses-standard/t1_linear/sub-809320_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
373,MRART-Preproc/subjects/sub-830976/ses-standard/t1_linear/sub-830976_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
376,MRART-Preproc/subjects/sub-848092/ses-standard/t1_linear/sub-848092_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
379,MRART-Preproc/subjects/sub-862915/ses-standard/t1_linear/sub-862915_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
385,MRART-Preproc/subjects/sub-886764/ses-standard/t1_linear/sub-886764_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
386,MRART-Preproc/subjects/sub-886764/ses-headmotion1/t1_linear/sub-886764_ses-headmotion1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
388,MRART-Preproc/subjects/sub-890465/ses-standard/t1_linear/sub-890465_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
391,MRART-Preproc/subjects/sub-914102/ses-standard/t1_linear/sub-914102_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
403,MRART-Preproc/subjects/sub-938344/ses-standard/t1_linear/sub-938344_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
409,MRART-Preproc/subjects/sub-945652/ses-standard/t1_linear/sub-945652_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
412,MRART-Preproc/subjects/sub-946200/ses-standard/t1_linear/sub-946200_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
419,MRART-Preproc/subjects/sub-986786/ses-headmotion1/t1_linear/sub-986786_ses-headmotion1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
420,MRART-Preproc/subjects/sub-986786/ses-headmotion2/t1_linear/sub-986786_ses-headmotion2_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
421,MRART-Preproc/subjects/sub-987325/ses-standard/t1_linear/sub-987325_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
424,MRART-Preproc/subjects/sub-988484/ses-standard/t1_linear/sub-988484_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
427,MRART-Preproc/subjects/sub-988653/ses-standard/t1_linear/sub-988653_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
428,MRART-Preproc/subjects/sub-988653/ses-headmotion1/t1_linear/sub-988653_ses-headmotion1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
429,MRART-Preproc/subjects/sub-988653/ses-headmotion2/t1_linear/sub-988653_ses-headmotion2_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
430,MRART-Preproc/subjects/sub-992121/ses-standard/t1_linear/sub-992121_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
431,MRART-Preproc/subjects/sub-992121/ses-headmotion1/t1_linear/sub-992121_ses-headmotion1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
432,MRART-Preproc/subjects/sub-992121/ses-headmotion2/t1_linear/sub-992121_ses-headmotion2_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
433,MRART-Preproc/subjects/sub-992238/ses-standard/t1_linear/sub-992238_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
